,,br,Lumber Yard,T,,,1,2,2,2,2
,,br,Stone Pit,S,,,1,1,2,2,2
,,br,Clay Pool,C,,,1,1,2,2,2
,,br,Ore Vein,O,,,1,2,2,2,2
,-1,br,Tree Farm,TC,,,0,0,0,1,1
,-1,br,Excavation,SC,,,0,1,1,1,1
,-1,br,Clay Pit,CO,,,1,1,1,1,1
,-1,br,Timber Yard,ST,,,1,1,1,1,1
,-1,br,Forest Cave,TO,,,0,0,1,1,1
,-1,br,Mine,OS,,,0,0,0,1,1
,,gy,Loom,L,,,1,1,1,2,2
,,gy,Glassworks,G,,,1,1,1,2,2
,,gy,Press,P,,,1,1,1,2,2
,,bl,Pawnshop,{3},,,0,1,1,1,2
,S,bl,Baths,{3},Aquaduct,,1,1,1,1,2
,,bl,Altar,{2},Temple,,1,1,2,2,2
,,bl,Theater,{2},Statue,,1,1,1,2,2
,,y,Tavern,5,,,0,1,2,2,3
,,y,East Trading Post,>CSOW,Forum,,1,1,1,1,2
,,y,West Trading Post,<CSOW,Forum,,1,1,1,1,2
,,y,Marketplace,<>LGP,Caravansery,,1,1,1,2,2
,T,r,Stockade,X,,,1,1,1,1,2
,O,r,Barracks,X,,,1,1,2,2,2
,C,r,Guard Tower,X,,,1,2,2,2,2
,L,gr,Apothecary,&,Stables,Dispensary,1,1,2,2,2
 ,G,gr,Workshop,@,Archery Range,Laboratory,1,1,1,1,2
 ,P,gr,Scriptorium,#,Courthouse,Library,1,2,2,2,2
