,-1,br,Sawmill,TT,,,1,2,2,2,2
,-1,br,Quarry,SS,,,1,2,2,2,2
,-1,br,Brickyard,CC,,,1,2,2,2,2
,-1,br,Foundry,OO,,,1,2,2,2,2
,,gy,Loom,L,,,1,1,2,2,2
,,gy,Glassworks,G,,,1,1,2,2,2
,,gy,Press,P,,,1,1,2,2,2
Baths,SSS,bl,Aqueduct,{5},,,1,1,1,1,2
Altar,TCG,bl,Temple,{3},Pantheon,,1,1,1,2,2
Theater,TOO,bl,Statue,{4},Gardens,,1,1,1,1,2
Scriptorium,CCL,bl,Courthouse,{4},,,1,1,2,2,2
East Trading Post,CC,y,Forum,L/G/P,Haven,,1,1,1,2,3
Marketplace,TT,y,Caravansery,C/S/O/T,Lighthouse,,1,1,2,3,3
,,y,Vineyard,(1/*),< \/ >,,1,1,1,2,2
,,y,Bazar,(2/*),< \/ >,,0,1,1,1,2
,SSS,r,Walls,XX,Fortifications,,1,1,1,1,2
,TOO,r,Training Ground,XX,Circus,,0,1,1,2,3
Apothecary,OCT,r,Stables,XX,,,1,1,2,2,2
Workshop,TTO,r,Archery Range,XX,,,1,1,1,2,2
Apothecary,OOG,gr,Dispensary,&,Arena,Lodge,1,2,2,2,2
Workshop,CCP,gr,Laboratory,@,Siege Workshop,Observatory,1,1,2,2,2
Scriptorium,SSL,gr,Library,#,Senate,University,1,1,1,2,2
,TP,gr,School,#,Academy,Study,1,1,1,1,2
